0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
851	454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1551	1198	803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1769	1370	920	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1605	1286	940	225	879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2596	2198	1745	1240	831	1374	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1137	803	482	420	879	484	1603	0	0	0	0	0	0	0	0	0	0	0	0	0
1255	1181	1188	1111	1726	968	2339	872	0	0	0	0	0	0	0	0	0	0	0	0
1123	731	355	862	700	1056	1524	699	1511	0	0	0	0	0	0	0	0	0	0	0
188	292	713	1374	1631	1420	2451	957	1092	1018	0	0	0	0	0	0	0	0	0	0
1282	883	432	586	488	794	1315	529	1397	290	1144	0	0	0	0	0	0	0	0	0
271	279	666	1299	1579	1341	2394	881	1019	985	83	1094	0	0	0	0	0	0	0	0
2300	1906	1453	887	586	1017	357	1263	1982	1280	2145	1036	2083	0	0	0	0	0	0	0
483	178	410	1070	1320	1137	2136	660	1010	743	317	836	259	1828	0	0	0	0	0	0
1038	662	262	547	796	679	1589	240	1061	466	875	354	811	1272	559	0	0	0	0	0
2099	1699	1260	999	371	1200	579	1250	2089	987	1972	833	1925	504	1668	1162	0	0	0	0
2699	2300	1858	1483	949	1645	347	1802	2594	1584	2571	1429	2523	653	2264	1744	600	0	0	0
2493	2117	1737	1681	1021	1891	959	1867	2734	1395	2408	1369	2380	1114	2138	1724	701	678	0	0
393	292	597	1185	1494	1220	2300	765	923	934	230	1014	123	1973	192	712	1848	2442	2329	0
